path,writer_id,sample_id,label,aspect_ratio,pixel_density,baseline_ratio,num_crossings,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_energy,glcm_correlation,glcm_ASM
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_1.png,10,1,genuine,2.037037037037037,0.04994134897360704,1.0819070904645476,67,2.1032964839558153,4.481513742027916,7.428845005899331,7.523005656662313,15.056132913340386,9.815049854087334,15.31657629773996,0.04026160321152889,0.04026160321152889,0.9798691983942356,0.9305805728003996,0.5788678667717114,0.8660445341630555
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_10.png,10,10,genuine,1.8487394957983194,0.06533724340175953,0.9892857142857143,94,2.1280486509635343,4.518970527505169,7.527594801502251,7.449882447640817,14.96033368258747,9.733612318723424,15.449408062761279,0.04551811841260682,0.04551811841260682,0.9772409407936965,0.9131358656645009,0.6300211274511843,0.8339034179688427
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_11.png,10,11,genuine,2.391304347826087,0.04480938416422287,0.8588807785888077,59,2.0553364775632135,4.279113778385576,7.320561847403947,7.240027809000101,14.520331247864775,9.421718330501037,16.721185813001103,0.035087503519392,0.035087503519392,0.9824562482403041,0.9381116128444378,0.5931607147306598,0.8800953096614218
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_12.png,10,12,genuine,1.6793893129770991,0.06935483870967742,1.0565217391304347,79,2.1905231067587594,4.747541251245893,7.498117071432832,7.633186008855322,15.236364622099712,10.009564518730134,15.598535740037327,0.046836153542356096,0.046836153542356096,0.976581923228822,0.9086281806399394,0.6398254984287955,0.8256875622854922
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_13.png,10,13,genuine,2.3157894736842106,0.053313782991202346,0.8878504672897196,89,2.115039426379322,4.4262341822305995,7.4918732618116,7.440807373952503,14.907865627237518,9.688857439917385,16.147841033516812,0.04452011753160671,0.04452011753160671,0.9777399412341967,0.9252520692618388,0.5620586401463574,0.8561747103814333
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_14.png,10,14,genuine,1.746031746031746,0.055161290322580644,1.0139186295503213,48,2.104426388805614,4.54343724123089,7.391065264225921,7.992519956083231,16.0156825487423,-11.214650293991935,15.737542713242474,0.04599170379962169,0.04599170379962169,0.9770041481001892,0.9227406395811761,0.5619686673293766,0.8515443619307799
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_15.png,10,15,genuine,2.2,0.049296187683284455,0.8391684901531729,100,2.1059472429575132,4.399395340178874,8.147614356185235,7.932896037240924,15.988734329901618,10.173311247220179,-16.552946474116446,0.041054916340639236,0.041054916340639236,0.9794725418296805,0.9308417762131463,0.5649929355326762,0.8665255566822987
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_16.png,10,16,genuine,2.156862745098039,0.052961876832844576,1.0499432463110103,94,2.044100426301359,4.25513732467909,7.3335395220557595,7.304110221376088,14.628043493902561,9.454254054938334,15.439718961462745,0.04098679578031204,0.04098679578031204,0.979506602109844,0.9272781295980068,0.5944559894267178,0.8599064959559333
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_17.png,10,17,genuine,2.0754716981132075,0.04782991202346041,0.9256198347107438,120,2.010356921387358,4.196840802644421,7.225450572365633,7.186760768261203,14.393368356901023,9.337741776938065,-15.711177980594982,0.03491024702610289,0.03491024702610289,0.9825448764869487,0.9352566055913274,0.6194158566027084,0.8747374117755569
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_18.png,10,18,genuine,2.0754716981132075,0.04498533724340176,1.0237467018469657,59,1.9618470828044685,4.104189198685419,7.436197551254907,7.4081349569872215,14.831213033644081,9.57627426095743,16.01917895984202,0.03746103452647461,0.03746103452647461,0.9812694827367626,0.9367569680363579,0.5673577480730363,0.877556453180486
